Auteur,Date,Commentaire,Note
SANDRINE,2024-08-24,jolie le confort ok legere mais semelles glissantes sur sol humide comme certains trottoirs paves et carrelagedonc je ne recommande pas,5
Orianne,2024-08-24,chaussures legeres souplesse et confortables pour la marche en ville principalement,5
ANNABELLE,2024-08-24,chaussures adaptees au sport pratique marche,4
Marie Jose,2024-08-26,rad,5
Magalie,2024-08-23,niquel je les utilise pour le travail,5
Stephane,2024-08-21,bon produit,5
Fabienne,2024-08-21,chaussures confortables et legeres parfait pour de la rando sur terrain semi accidente en periode estivale et par temps sec,5
Denis,2024-08-20,ras,4
Christelle,2024-08-20,tres bon produit,5
Anne Marie,2024-08-19,tres agreable a porter comme des pantoufles,4
LAURENT,2024-08-19,bon rapport qualite prix,4
Sylvie,2024-08-18,tres satisfaite de mon achat,5
FRANCK,2024-08-18,tres bien,5
Solenne,2024-08-18,chaussures utilisees pour de la balade satisfaite de mon achat,5
SOPHIE,2024-08-16,tres legere poids et temperature lorsquil fait chaud,5
Jean-luc,2024-08-16,je recommande,4
Brigitte,2024-08-15,bien correct,4
Aleth Angèle,2024-08-15,il est parfait je me sans super a laise et vous le conseil je suis a ma deuxieme paire,5
STANISLAS,2024-08-14,on sy sent comme dans des chaussons,5
Nina,2024-08-14,je les utilise pour du renfo et cardio en interieur elles sont confortables et tiennent bien,5
Sandy,2024-08-14,tres bien pour le dpirt en salle de ma fille,5
Olivier,2024-08-13,baskets au rapport qualite prix imbattable,5
Corinne,2024-08-12,elles sont tres agreables a porter la semelle crantee accroche bien mais je naime pas trop le systeme dattaches en ruban qui remplace les oeillets perces directement dans la chaussure et jaurais aime que la languette monte un peu plus sur le pied quand je fais mes lacets ils se prennent dans la languette,4
Rodolphe,2024-08-11,bonne resistance aux differents terrains et activite,4
jolene,2024-08-10,paire utilisee pour de la zumba et ca convient tres bien,4
Carine,2024-08-09,les chaussures retrecissent au soleil mes orteils touchentle bout je ne peux plus les mettre apres quelques heures passees a marche au soleil,1
Mathilde,2024-08-09,tres bien,4
Laurence,2024-08-08,basket legere et tres confortable,5
SYLVIE,2024-08-08,tres bon produit,5
PHILIPPE,2024-08-08,bon rapport qualite prix je recommande,4
Sandra,2024-08-07,tres bon produit,5
Catherine,2024-08-07,premiere paire de baskets achetee et tres satisfaite de mon achat,5
Nathalie,2024-08-07,cest la eme fois que jachete ce modele antitranspirant leger tres bonne semelle je recommande,5
Sabine,2024-08-06,tres satisfaite,5
Nathalie,2024-08-06,super produit,5
